path,tracked,bytes,lines,category,review_depth,recommended_disposition,purpose_or_controls,imports,symbols,sha256
.github/ISSUE_TEMPLATE/stage-submission.yml,yes,2129,75,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,43534b67913cc7b05c3e86b9db40327fc00236bece44914779037be532b5b4ba
.github/workflows/ci.yml,yes,1453,59,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,d5c2dbfcaf5e5e06e8749b9905bf0973b675449e657c340c2a06f1c34e27b23d
.github/workflows/publish-stage.yml,yes,3487,98,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,d2340031bd7ad3ca180fe90aaf6486a13943c9c19ec8026d6dfab9535e69549e
.github/workflows/release.yml,yes,6817,215,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,2a7b5bfd0275720104f1557218d42edb4bf0a8a012da1d503925845f802c54ce
.gitignore,yes,2580,144,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,8e56ec29bfa6545e2057959c23ec25d3f6a21ef2292fc239ca41a2eed3b22d2b
CHANGELOG.md,yes,38389,703,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,72b69b0a49319b9b60571d4eb44e88259547ecd23c3fba96ba35af2baa34850c
CMakeLists.txt,yes,12666,310,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,b7373d31bf6b515ca48c25beedc45fd84401c83cbb939de85be07057417c480e
CONTRIBUTING.md,yes,4381,103,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,14cff4fe04af2a8e5091f527bcb9515ef2c80ba32bbf32058a4afd054c34b0b9
FUNDING.yml,yes,68,3,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,a36528477c27a25c2dfc70ed88403b31f44b4a8d9a63abd63e9afde1010d49f6
LICENSE,yes,1064,21,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,790972d97715d400bdd1486ed42f871349ebe9dfd92b8d89e37e5fc8260fc5cb
README.md,yes,6233,155,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,8584512b6fd1071486a4e48bdf39d2c0b8c539663345ec48af17ab67b054eb1e
REFACTORING_PLAN.md,no (local/ignored),4233,45,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,e8d8b400bb4d99759c5b110b11adfe8055edd004fe0e98a26ec738f2e91f809b
REFACTORING_PLAN_V2.md,no (local/ignored),15175,99,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,f401e4785cc3f5d66c7beb0e9628ea1d246aa76809731dce289ac61de7192f35
VERSION,yes,6,1,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,2aa092243667791a5d0de79ef7a43605357e4bf8f6cf329bdf58539fe4b8a3d1
appicon.png,yes,690607,,Media/dependency asset,Inventory only,Preserve; not application logic,,,,a901d467c62fb15f5badb3782f9074732bc81e12763793153580802bdf5f2ec7
bddview.cpp,yes,23195,675,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,stdio.h; stdlib.h; string.h; limits.h; SDL.h; Core/bdd_format.h; bg_editor.h; Core/app_diagnostics.h; Core/editor_app_globals.h; Core/editor_project_globals.h; Core/editor_project_storage.h; Core/image_lookup.h; Core/viewer_cli_commands.h; Core/viewer_stage_io.h; Core/path_utils.h; UI/overlays/sdl_alignment_guides.h; UI/assets/app_icon.h; UI/sdl/sdl_path_input.h; UI/sdl/sdl_save_popup.h; UI/sdl/sdl_stage_open.h; UI/sdl/sdl_bitmap_font.h; UI/sdl/sdl_drop_file.h; UI/sdl/sdl_image_grid_view.h; UI/sdl/sdl_keyboard_actions.h; UI/sdl/sdl_mouse_interaction.h; UI/sdl/sdl_mouse_wheel.h; UI/sdl/sdl_object_picker.h; UI/overlays/sdl_reference_overlay.h; UI/sdl/sdl_tooltip.h; UI/overlays/sdl_view_hud.h; UI/overlays/sdl_world_grid_overlay.h; UI/overlays/sdl_world_markers.h; UI/sdl/sdl_world_objects.h; UI/assets/texture_cache.h; UI/tools/mk2_runtime_actor_tool.h; libs/stb_image_write.h,bdd_viewer_render_png; bdd_viewer_render_scroll; init; should_run; run; shutdown; process_events; update; render; main,6badaed86fa9cf0706a904ee132b406c8853fbd2b8fbc55cc2d51f3cee946ec6
build.bat,yes,3802,100,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,b8342f3beb92a6da8b326ccccfb76945163bf64299c8a8ed9ef6f6da8a3172c1
build.ps1,yes,7554,167,Repository configuration/documentation,Detailed relevant sections inspected,Maintain as appropriate,,,,02020115f17a48a66210fc3a97e00c1c82c31c5be484fb403a953fec6848a0e9
imgui/backends/imgui_impl_sdl2.cpp,yes,40722,770,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_impl_sdl2.h; SDL.h; SDL_syswm.h; TargetConditionals.h; emscripten/em_js.h,ImGui_ImplSDL2_SetClipboardText; ImGui_ImplSDL2_PlatformSetImeData; ImGui_ImplSDL2_UpdateKeyModifiers; ImGui_ImplSDL2_ProcessEvent; ImGui_ImplSDL2_Init; ImGui_ImplSDL2_InitForOpenGL; ImGui_ImplSDL2_InitForVulkan; ImGui_ImplSDL2_InitForD3D; ImGui_ImplSDL2_InitForMetal; ImGui_ImplSDL2_InitForSDLRenderer; ImGui_ImplSDL2_InitForOther; ImGui_ImplSDL2_CloseGamepads; ImGui_ImplSDL2_Shutdown; ImGui_ImplSDL2_UpdateMouseData; ImGui_ImplSDL2_UpdateMouseCursor; ImGui_ImplSDL2_CloseGamepads; ImGui_ImplSDL2_SetGamepadMode; ImGui_ImplSDL2_UpdateGamepadButton; ImGui_ImplSDL2_UpdateGamepadAnalog; ImGui_ImplSDL2_UpdateGamepads; ImGui_ImplSDL2_NewFrame,d61deb48e90c348db7ba29977cc092a549da4ad74f175f392de77f61d4116bab
imgui/backends/imgui_impl_sdl2.h,yes,3046,46,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h,,2aac7e9db6016c8560883dda5d4966eb8d48aa1029d0ccc472cbce2697af2209
imgui/backends/imgui_impl_sdlrenderer2.cpp,yes,11842,264,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_impl_sdlrenderer2.h; stdint.h; SDL.h,ImGui_ImplSDLRenderer2_Init; ImGui_ImplSDLRenderer2_Shutdown; ImGui_ImplSDLRenderer2_SetupRenderState; ImGui_ImplSDLRenderer2_NewFrame; ImGui_ImplSDLRenderer2_RenderDrawData; ImGui_ImplSDLRenderer2_CreateFontsTexture; ImGui_ImplSDLRenderer2_DestroyFontsTexture; ImGui_ImplSDLRenderer2_CreateDeviceObjects; ImGui_ImplSDLRenderer2_DestroyDeviceObjects,8d62d4912f23ac099dafdda35e79e89e12a3c00da1270fffe574420e26d175e7
imgui/backends/imgui_impl_sdlrenderer2.h,yes,2094,40,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h,,0029c7ead21b5c1dcd896a5ee6694c67dfe42ad3dda3a96297c298764a3c79d8
imgui/imconfig.h,yes,11152,136,Vendored dependency,Inventory only,Preserve upstream boundary,,,MyFunction,f49f0636fc8be093a41f4661f04cabd1bff5fb49209a57538f407824fb81bb5f
imgui/imgui.cpp,yes,838467,16263,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_internal.h; stdio.h; stdint.h; Windows.h; windows.h; TargetConditionals.h; stb_sprintf.h; Carbon/Carbon.h; shellapi.h; sys/wait.h; unistd.h; imm.h; imgui_user.inl,MyImGuiRenderFunction; SetCurrentWindow; AddWindowToSortBuffer; WindowSettingsHandler_ClearAll; WindowSettingsHandler_ReadLine; WindowSettingsHandler_ApplyAll; WindowSettingsHandler_WriteAll; SetClipboardTextFn_DefaultImpl; PlatformSetImeDataFn_DefaultImpl; PlatformOpenInShellFn_DefaultImpl; ItemHandleShortcut; NavUpdate; NavUpdateWindowing; NavUpdateWindowingOverlay; NavUpdateCancelRequest; NavUpdateCreateMoveRequest; NavUpdateCreateTabbingRequest; NavUpdatePageUpPageDown; NavUpdateCreateWrappingRequest; NavEndFrame; NavScoreItem; NavApplyItemToResult; NavProcessItem; NavProcessItemForTabbingRequest; NavSaveLastChildNavWindowIntoParent; NavRestoreLayer; FindWindowFocusIndex; ErrorCheckNewFrameSanityChecks; ErrorCheckEndFrameSanityChecks; UpdateDebugToolItemPicker; UpdateDebugToolStackQueries; UpdateDebugToolFlashStyleColor; UpdateKeyboardInputs; UpdateMouseInputs; UpdateMouseWheel; UpdateKeyRoutingTable; UpdateSettings; UpdateWindowManualResize; RenderWindowOuterBorders; RenderWindowDecorations; RenderWindowTitleBarContents; RenderDimmedBackgroundBehindWindow; RenderDimmedBackgrounds; SetLastItemDataForWindow; UpdateViewportsNewFrame; FreeWrapper; FreeWrapper; ImBezierCubicClosestPointCasteljauStep; ImTriangleContainsPoint; ImTriangleBarycentricCoords; ImStricmp; ImStrnicmp; ImStrncpy; ImStrlenW; ImStrTrimBlanks; ImFormatString; ImFormatStringV; ImFormatStringToTempBuffer; ImFormatStringToTempBufferV; ImFileClose; ImTextCharFromUtf8; ImTextStrFromUtf8; ImTextCountCharsFromUtf8; ImTextCountUtf8BytesFromChar; ImTextStrToUtf8; ImTextCountUtf8BytesFromStr; ImTextCountLines; GetSkipItemForListClipping; ImGuiListClipper_SortAndFuseRanges; ImGuiListClipper_SeekCursorAndSetupPrevLine; ImGuiListClipper_StepInternal; SetCurrentWindow; IsWindowActiveAndVisible; SetupDrawListSharedData; AddWindowToSortBuffer; AddWindowToDrawData; FlattenDrawDataIntoSingleLayer; InitViewportDrawData; SetWindowConditionAllowFlags; ApplyWindowSettings; UpdateWindowInFocusOrderList; InitOrLoadWindowSettings; CalcWindowContentSizes; CalcResizePosSizeFromAnyCorner; RenderWindowOuterSingleBorder; CalcRoutingScore; IsKeyChordPotentiallyCharInput; UpdateAliasKey; LockWheelingWindow; DebugPrintInputEvent; CalcScrollEdgeSnap; NavBiasScoringRect; NavUpdateWindowingHighlightWindow; WindowSettingsHandler_ClearAll; WindowSettingsHandler_ReadLine; WindowSettingsHandler_ApplyAll; WindowSettingsHandler_WriteAll; SetClipboardTextFn_DefaultImpl; SetClipboardTextFn_DefaultImpl; SetClipboardTextFn_DefaultImpl; PlatformOpenInShellFn_DefaultImpl; PlatformOpenInShellFn_DefaultImpl; PlatformOpenInShellFn_DefaultImpl; PlatformSetImeDataFn_DefaultImpl; PlatformSetImeDataFn_DefaultImpl; RenderViewportsThumbnails; DebugFlashStyleColorStop; MetricsHelpMarker; FormatTextureIDForDebugDisplay; SameLineOrWrap; ShowDebugLogFlag; StackToolFormatLevelInfo,c1b968bee46479d4383ef84c3794b5c11d7349710612d6d4ce77a92a8acd4909
imgui/imgui.h,yes,364107,3643,Vendored dependency,Inventory only,Preserve upstream boundary,,imconfig.h; float.h; stdarg.h; stddef.h; string.h; assert.h; imgui_user.h,SelectAll; ClearSelection; HasSelection; Clear; IsDataType; IsPreview; IsDelivery; Clear; IsActive; empty; size; empty; clear; reserve; Clear; IsPacked; IsBuilt; SetTexID; GetCharAdvance; IsLoaded,0ba5a8f2ebddb6d9f32f8bd8e08dab8f4a0fdc1a17b10d1dbb3bb60a8f922fb2
imgui/imgui_draw.cpp,yes,234351,4632,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_internal.h; misc/freetype/imgui_freetype.h; stdio.h; imstb_rectpack.h; imstb_truetype.h,PathBezierCubicCurveToCasteljau; PathBezierQuadraticCurveToCasteljau; Unlink; push_back; find_erase_unsorted; EstimateTriangleCount; EstimateScratchBufferSize; Init; GetNextTriangle; BuildNodes; BuildReflexes; BuildEars; FlipNodeList; IsEar; ReclassifyNode; Decode85; ImFontAtlasBuildMultiplyCalcLookupTable; ImFontAtlasBuildMultiplyRectAlpha8; UnpackBitVectorToFlatIndexList; ImFontAtlasBuildWithStbTruetype; ImFontAtlasUpdateConfigDataPointers; ImFontAtlasBuildSetupFont; ImFontAtlasBuildPackCustomRects; ImFontAtlasBuildRender8bppRectFromString; ImFontAtlasBuildRender32bppRectFromString; ImFontAtlasBuildRenderDefaultTexData; ImFontAtlasBuildRenderLinesTexData; ImFontAtlasBuildInit; ImFontAtlasBuildFinish; UnpackAccumulativeOffsetsIntoRanges; stb__match; stb__lit,291d5df1c1e4419c05932197599a30daa0e5ba3dc20adfd9913f5b6dd5ad9a07
imgui/imgui_internal.h,yes,271363,3712,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; stdio.h; stdlib.h; math.h; limits.h; immintrin.h; imstb_textedit.h,GetWidth; GetHeight; GetArea; Contains; Contains; ContainsWithPad; Overlaps; Add; Add; Expand; Expand; Translate; TranslateX; TranslateY; ClipWith; ClipWithFull; Floor; IsInverted; ClearAllBits; SetAllBits; TestBit; SetBit; ClearBit; SetBitRange; Create; Clear; TestBit; SetBit; ClearBit; Contains; Clear; Remove; Remove; Reserve; GetAliveCount; GetBufSize; GetMapSize; clear; empty; size; chunk_size; offset_from_ptr; swap; clear; size; append; SetCircleTessellationMaxError; Update; DeclColumns; CalcNextTotalWidth; ClearFreeMemory; ClearText; ClearFreeMemory; GetUndoAvailCount; GetRedoAvailCount; OnKeyPressed; CursorAnimReset; CursorClamp; HasSelection; ClearSelection; GetCursorPos; GetSelectionStart; GetSelectionEnd; SelectAll; ReloadUserBufAndSelectAll; ReloadUserBufAndKeepSelection; ReloadUserBufAndMoveToEnd; SetToContextState; CompareWithContextState; Clear; Reset; Clear; Clear; Clear; ClearIO; UpdateWorkRect; CalcFontSize,93c8b237f7d79e0f4affa6abfd896e586bb385e97558bb699a3d33bb00de914c
imgui/imgui_tables.cpp,yes,243349,4451,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_internal.h; stdint.h,TableSetupColumnFlags; TableSettingsInit; TableSettingsHandler_ClearAll; TableSettingsHandler_ApplyAll; TableSettingsHandler_ReadLine; TableSettingsHandler_WriteAll; GetDraggedColumnOffset; GetColumnWidthEx,f4d94aaee884333f1fad83aa75cb90e8b54797eff416e95fd8ab6764dac73065
imgui/imgui_widgets.cpp,yes,502900,10169,Vendored dependency,Inventory only,Preserve upstream boundary,,imgui.h; imgui_internal.h; stdint.h; imstb_textedit.h,InputTextFilterCharacter; InputTextCalcTextLenAndLineCount; CalcMaxPopupHeightFromItemCount; DataTypeCompareT; DataTypeClampT; GetMinimumStepAtDecimalPrecision; ImParseFormatSanitizeForPrinting; ImParseFormatPrecision; InputTextCalcTextLenAndLineCount; STB_TEXTEDIT_STRINGLEN; STB_TEXTEDIT_GETWIDTH; STB_TEXTEDIT_KEYTOTEXT; STB_TEXTEDIT_LAYOUTROW; is_separator; is_word_boundary_from_right; is_word_boundary_from_left; STB_TEXTEDIT_MOVEWORDLEFT_IMPL; STB_TEXTEDIT_MOVEWORDRIGHT_MAC; STB_TEXTEDIT_MOVEWORDRIGHT_WIN; STB_TEXTEDIT_MOVEWORDRIGHT_IMPL; STB_TEXTEDIT_DELETECHARS; STB_TEXTEDIT_INSERTCHARS; stb_textedit_replace; InputTextFilterCharacter; InputTextReconcileUndoStateAfterUserCallback; ColorEditRestoreH; ColorEditRestoreHS; RenderArrowsForVerticalBar; TreeNodeStoreStackData; ImStrimatchlen; BoxSelectPreStartDrag; BoxSelectActivateDrag; BoxSelectDeactivateDrag; BoxSelectScrollWithMouseDrag; DebugLogMultiSelectRequests; ImGuiSelectionBasicStorage_BatchSetItemSelected; ImGuiSelectionBasicStorage_BatchFinish; Plot_ArrayGetter; IsRootOfOpenMenuSet; TabBarLayout; TabBarCalcMaxTabWidth; TabBarScrollClamp; TabBarScrollToTab; TabBarCalcScrollableWidth,479b5a1bcad727e3027ceb21f0a653598eaf6655a4c9c7fbb54807f574100de0
imgui/imstb_rectpack.h,yes,20344,627,Vendored dependency,Inventory only,Preserve upstream boundary,,stdlib.h; assert.h,stbrp__skyline_find_min_y,2efa3d5f7d003c19743b15155dad9f46d9f9fc783a18893d703b431d3c990972
imgui/imstb_textedit.h,yes,55208,1441,Vendored dependency,Inventory only,Preserve upstream boundary,,string.h,stb_text_locate_coord; stb_textedit_click; stb_textedit_drag; stb_text_undo; stb_text_redo; stb_text_makeundo_delete; stb_text_makeundo_insert; stb_text_makeundo_replace; stb_textedit_find_charpos; stb_textedit_clamp; stb_textedit_delete; stb_textedit_delete_selection; stb_textedit_sortselection; stb_textedit_move_to_first; stb_textedit_move_to_last; is_word_boundary; stb_textedit_move_to_word_previous; stb_textedit_move_to_word_next; stb_textedit_prep_selection_at_cursor; stb_textedit_cut; stb_textedit_paste_internal; stb_textedit_key; stb_textedit_flush_redo; stb_textedit_discard_undo; stb_textedit_discard_redo; stb_text_undo; stb_text_redo; stb_text_makeundo_insert; stb_text_makeundo_delete; stb_text_makeundo_replace; stb_textedit_clear_state; stb_textedit_initialize_state; stb_textedit_paste,99d5970b305c9865e7a1fcdeed0ee71cc3701bbc66bec45cf8b0c460e16d9cdd
